v, 1, 0.000209, 0x1516060e0
v, 2, 0.000041, 0x1516060e0
v, 3, 0.000041, 0x151605fc0
v, 4, 0.000084, 0x151605d70
v, 5, 0.000041, 0x151605db0
v, 6, 0.000042, 0x1516060f0
v, 7, 0.000083, 0x151606270
v, 8, 0.001291, 0x15180c800
v, 9, 0.000083, 0x15180d000
v, 10, 0.001333, 0x15180e200
v, 11, 0.001417, 0x151810a00
v, 12, 0.006625, 0x158008000
v, 13, 0.008791, 0x158018000
v, 14, 0.018375, 0x158038000
v, 15, 0.043459, 0x158070000
v, 16, 0.090250, 0x1580e8000
v, 17, 0.211500, 0x1581e8000
v, 18, 0.389583, 0x158408000
v, 19, 0.919625, 0x152000000
v, 20, 1.719667, 0x152980000
v, 21, 3.553917, 0x153d80000
v, 22, 7.158958, 0x141600000
v, 23, 16.441584, 0x131600000
v, 24, 33.445667, 0x121600000
v, 25, 65.119542, 0x102630000
v, 26, 130.674416, 0x280000000
v, 27, 366.613250, 0x280000000
v, 28, 875.324250, 0x280000000
v, 29, 1851.489333, 0x280000000
