v, 1, 0.005208, 0x2ba4a090
v, 2, 0.000886, 0x2ba4a090
v, 3, 0.000625, 0x2ba4a090
v, 4, 0.000469, 0x2ba49eb0
v, 5, 0.001250, 0x2ba4b0c0
v, 6, 0.001041, 0x2ba4b170
v, 7, 0.001146, 0x2ba4b300
v, 8, 0.001979, 0x2ba4b690
v, 9, 0.035781, 0x2ba4b690
v, 10, 0.028906, 0x2ba4b690
v, 11, 0.073646, 0x2ba4b690
v, 12, 0.182917, 0x2ba4b690
v, 13, 0.387501, 0x2ba4b690
v, 14, 1.264690, 0x7f81994010
v, 15, 2.665474, 0x7f81954010
v, 16, 5.776781, 0x7f818cc010
v, 17, 11.984812, 0x7f817ac010
v, 18, 25.390407, 0x7f8154c010
v, 19, 53.607069, 0x7f8104c010
v, 20, 112.803627, 0x7f805cc010
v, 21, 237.353785, 0x7f7efcc010
v, 22, 508.626899, 0x7f7c1cc010
v, 23, 1046.824682, 0x7f761cc010
v, 24, 2190.833068, 0x7f699cc010
v, 25, 8167.608923, 0x7f4f9cc010
v, 26, fail
v, 27, fail
v, 28, fail
v, 29, fail
