v, 1, 0.005521, 0x1d841b8
v, 2, 0.001250, 0x1d841b8
v, 3, 0.001771, 0x1d851d0
v, 4, 0.001250, 0x1d851f0
v, 5, 0.001407, 0x1d85238
v, 6, 0.001355, 0x1d852e0
v, 7, 0.001458, 0x1d85468
v, 8, 0.001562, 0x1d85468
v, 9, 0.010574, 0x1d85468
v, 10, 0.009427, 0x1d85468
v, 11, 0.023023, 0x1d85468
v, 12, 0.060682, 0x1d85468
v, 13, 0.109488, 0x1d85468
v, 14, 0.566245, 0x76bcb008
v, 15, 0.891480, 0x76b8b008
v, 16, 2.035116, 0x76b03008
v, 17, 4.632520, 0x769e3008
v, 18, 9.862641, 0x76783008
v, 19, 20.948716, 0x76283008
v, 20, 44.173454, 0x75803008
v, 21, 93.172100, 0x74203008
v, 22, 194.994708, 0x71403008
v, 23, 406.373093, 0x6b403008
v, 24, 847.623484, 0x5ec03008
v, 25, 1768.873407, 0x44c03008
v, 26, fail
v, 27, fail
v, 28, fail
v, 29, fail
