c, 1, 0.006094, 0x558bf22090
c, 2, 0.001354, 0x558bf230c0
c, 3, 0.000782, 0x558bf230e0
c, 4, 0.000729, 0x558bf23100
c, 5, 0.000937, 0x558bf23150
c, 6, 0.000781, 0x558bf23200
c, 7, 0.000885, 0x558bf23390
c, 8, 0.001875, 0x558bf23720
c, 9, 0.024375, 0x558bf23720
c, 10, 0.028542, 0x558bf23720
c, 11, 0.092813, 0x558bf23720
c, 12, 0.162031, 0x558bf23720
c, 13, 0.137188, 0x558bf23720
c, 14, 0.071823, 0x7fbe464010
c, 15, 0.061302, 0x7fbe424010
c, 16, 0.073333, 0x7fbe39c010
c, 17, 0.073333, 0x7fbe27c010
c, 18, 0.073178, 0x7fbe01c010
c, 19, 0.084166, 0x7fbdb1c010
c, 20, 0.072813, 0x7fbd09c010
c, 21, 0.075469, 0x7fbba9c010
c, 22, 0.076458, 0x7fb8c9c010
c, 23, 0.075989, 0x7fb2c9c010
c, 24, 0.087292, 0x7fa649c010
c, 25, 0.075521, 0x7f8c49c010
c, 26, 0.186354, (nil)
c, 27, 0.131927, (nil)
c, 28, 0.129428, (nil)
c, 29, 0.087500, (nil)
