v, 1, 0.002865, 0x134c1b8
v, 2, 0.001146, 0x134c1b8
v, 3, 0.001563, 0x134d1d0
v, 4, 0.001146, 0x134d1f0
v, 5, 0.001146, 0x134d238
v, 6, 0.001094, 0x134d2e0
v, 7, 0.001145, 0x134d468
v, 8, 0.001042, 0x134d468
v, 9, 0.009532, 0x134d468
v, 10, 0.007709, 0x134d468
v, 11, 0.007397, 0x134d468
v, 12, 0.007397, 0x134d468
v, 13, 0.007136, 0x134d468
v, 14, 0.035941, 0x76b80008
v, 15, 0.026044, 0x76b40008
v, 16, 0.025576, 0x76ab8008
v, 17, 0.029430, 0x76998008
v, 18, 0.028857, 0x76738008
v, 19, 0.028388, 0x76238008
v, 20, 0.028961, 0x757b8008
v, 21, 0.028753, 0x741b8008
v, 22, 0.032139, 0x713b8008
v, 23, 0.029482, 0x6b3b8008
v, 24, 0.029950, 0x5ebb8008
v, 25, 0.029482, 0x44bb8008
v, 26, fail
v, 27, fail
v, 28, fail
v, 29, fail
