v, 1, 0.005000, 0x557c83c090
v, 2, 0.000833, 0x557c83c090
v, 3, 0.000468, 0x557c83c090
v, 4, 0.000469, 0x557c83beb0
v, 5, 0.001198, 0x557c83d0c0
v, 6, 0.000937, 0x557c83d170
v, 7, 0.001094, 0x557c83d300
v, 8, 0.002031, 0x557c83d690
v, 9, 0.026666, 0x557c83d690
v, 10, 0.040157, 0x557c83d690
v, 11, 0.075261, 0x557c83d690
v, 12, 0.258385, 0x557c83d690
v, 13, 0.401980, 0x557c83d690
v, 14, 1.330262, 0x7f81666010
v, 15, 2.985421, 0x7f81626010
v, 16, 6.184177, 0x7f8159e010
v, 17, 12.076010, 0x7f8147e010
v, 18, 25.496085, 0x7f8121e010
v, 19, 53.332016, 0x7f80d1e010
v, 20, 116.820821, 0x7f8029e010
v, 21, 239.519568, 0x7f7ec9e010
v, 22, 496.020780, 0x7f7be9e010
v, 23, 1049.479001, 0x7f75e9e010
v, 24, 2177.746676, 0x7f6969e010
v, 25, 4562.413542, 0x7f4f69e010
v, 26, fail
v, 27, fail
v, 28, fail
v, 29, fail
