v, 1, 0.002344, 0xa386090
v, 2, 0.000520, 0xa386090
v, 3, 0.000365, 0xa386090
v, 4, 0.000417, 0xa385eb0
v, 5, 0.001250, 0xa3870c0
v, 6, 0.000729, 0xa387170
v, 7, 0.000678, 0xa387300
v, 8, 0.000677, 0xa387690
v, 9, 0.032917, 0xa387690
v, 10, 0.020885, 0xa387690
v, 11, 0.019792, 0xa387690
v, 12, 0.019740, 0xa387690
v, 13, 0.051666, 0xa387690
v, 14, 0.058020, 0x7f9dd90010
v, 15, 0.046198, 0x7f9dd50010
v, 16, 0.046094, 0x7f9dcc8010
v, 17, 0.058177, 0x7f9dba8010
v, 18, 0.069219, 0x7f9d948010
v, 19, 0.059792, 0x7f9d448010
v, 20, 0.068282, 0x7f9c9c8010
v, 21, 0.058125, 0x7f9b3c8010
v, 22, 0.061093, 0x7f985c8010
v, 23, 0.071407, 0x7f925c8010
v, 24, 0.061354, 0x7f85dc8010
v, 25, 0.083958, 0x7f6bdc8010
v, 26, fail
v, 27, fail
v, 28, fail
v, 29, fail
