v, 1, 0.005209, 0x379ba090
v, 2, 0.001250, 0x379bb0c0
v, 3, 0.000834, 0x379bb0e0
v, 4, 0.000469, 0x379b9eb0
v, 5, 0.000781, 0x379bb100
v, 6, 0.000729, 0x379bb1b0
v, 7, 0.000729, 0x379bb340
v, 8, 0.000729, 0x379bb6d0
v, 9, 0.020573, 0x379bbee0
v, 10, 0.019532, 0x379bd0f0
v, 11, 0.019375, 0x379bf900
v, 12, 0.057344, 0x379c5110
v, 13, 0.020105, 0x379d1120
v, 14, 0.077084, 0x7fab869010
v, 15, 0.058177, 0x7fab7f0010
v, 16, 0.047343, 0x7fab6ef010
v, 17, 0.059219, 0x7fab4ce010
v, 18, 0.056615, 0x7fab04d010
v, 19, 0.056303, 0x7faa6cc010
v, 20, 0.066719, 0x7fa92cb010
v, 21, 0.060678, 0x7fa68ca010
v, 22, 0.059219, 0x7fa10c9010
v, 23, 0.059010, 0x7f958c8010
v, 24, 0.071823, 0x7f7d8c7010
v, 25, 0.060990, 0x7f4b8c6010
v, 26, fail
v, 27, fail
v, 28, fail
v, 29, fail
