v, 1, 0.000000, 0x139605f70
v, 2, 0.000000, 0x139605f70
v, 3, 0.000000, 0x139606060
v, 4, 0.000000, 0x139605fc0
v, 5, 0.000000, 0x1396060e0
v, 6, 0.000000, 0x139606190
v, 7, 0.000000, 0x139606310
v, 8, 0.003000, 0x13980c800
v, 9, 0.000000, 0x13980d000
v, 10, 0.001000, 0x13980e200
v, 11, 0.002000, 0x139810a00
v, 12, 0.004000, 0x140020000
v, 13, 0.009000, 0x140030000
v, 14, 0.018000, 0x140050000
v, 15, 0.040000, 0x140088000
v, 16, 0.083000, 0x140100000
v, 17, 0.201000, 0x140200000
v, 18, 0.432000, 0x140420000
v, 19, 0.848000, 0x13a000000
v, 20, 1.704000, 0x13a980000
v, 21, 3.843000, 0x13bd80000
v, 22, 7.035000, 0x129600000
v, 23, 15.781000, 0x119600000
v, 24, 30.953000, 0x109600000
v, 25, 61.140000, 0x280000000
v, 26, 123.552000, 0x280000000
v, 27, 323.269000, 0x280000000
v, 28, 820.258000, 0x280000000
v, 29, 1792.611000, 0x280000000
